ID,Provider_1,ProvID_1,Provider_2,ProvID_2,Stationnam,RiverName,RiverBasin,Country,CountryNam,Continent,HydroRegio,DrainArPro,DrainArLDD,YProvided,XProvided,YCorrected,XCorrected,ToCalibrat,ValidGLOFA,Legend_for,Comments,StartDate,EndDate,AddedDate,Lake,Reservoir,Lastupdate,CalibYear
G0372,GRDC,4214551,NA,NA,Above Moose River,Moose,Moose,CA,Canada,North_America,11,60100,62779,50.7433,-81.4583,50.75,-81.45,1,1,,,1/1/1983,12/31/2015,,0,0,2/1/2018,2017
G0373,GRDC,4213200,NA,NA,Below Craven Dam,Qu'appelle,Nelson,CA,Canada,North_America,11,10400,10433,50.7056,-104.7972,50.75,-105.05,1,1,,,3/14/1927,12/31/2016,,224,0,,2017
G0374,GRDC,6140401,NA,NA,Usti Nad Labem,Elbe,Elbe,CZ,Czech Republic,Europe,32,48541,49276,50.6567,14.0436,50.55,14.15,1,1,,,1/1/1991,12/31/2008,,0,0,,2017
G0375,GRDC,4213911,NA,NA,Ear Falls,English,Nelson,CA,Canada,North_America,11,26400,27144,50.6333,-93.2083,50.65,-93.25,1,1,,[ZZ] below dam/dam,1/1/1914,12/31/1994,,0,637,,0
G0376,GRDC,2906900,NA,NA,Komsomolsk,Amur,Amur,RU,Russian Federation,Asia,512,1730000,1846250,50.63,137.12,50.55,137.15,1,1,,,1/1/1940,12/31/2006,,0,0,,2017
G0377,GRDC,4214531,NA,NA,Below Waboose River,Missinaibi,Moose,CA,Canada,North_America,11,22900,24299,50.5833,-82.1167,50.45,-82.35,1,1,,,1/1/1972,12/31/2015,,0,0,2/1/2018,2017
G0378,GRDC,4213802,NA,NA,Pine Falls Generating Station,Winnipeg,Nelson,CA,Canada,North_America,11,136000,139043,50.5675,-96.1775,50.55,-96.15,1,1,,[ZZ] under dam nor represented in GloFAS(not in GLWD nor GranD) this section has many dams not represented in GloFAS,1/1/1987,12/31/2016,,0,0,2/1/2018,2017
G0379,GRDC,4213202,NA,NA,Near Welby,Qu'appelle,Nelson,CA,Canada,North_America,11,50900,46674,50.4911,-101.5578,50.45,-101.45,1,1,,data checked,6/1/1915,12/31/2016,,0,0,2/1/2018,2017
G0380,GRDC,6335070,NA,NA,Andernach,Rhine,Rhine,DE,Germany,Europe,32,139549,141636,50.443,7.392,50.45,7.55,1,1,,,11/1/1930,12/31/2012,,0,0,,2017
G0381,GRDC,4244635,NA,NA,En Aval De La Decharge Du Lac Alieste,Natashquan,Natashquan,CA,Canada,North_America,12,15600,15520,50.4272,-61.7136,50.85,-61.75,1,1,,,6/8/1980,10/21/2013,,0,0,,2017
G0382,GRDC,4213801,WSC,05PF068,Mcarthur Generating Station,Winnipeg,Nelson,CA,Canada,North_America,11,134000,137918,50.3981,-95.9972,50.45,-96.05,1,1,,[ZZ] dam,1/1/1987,12/31/2016,,0,3,2/1/2018,2017
